City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Lagoa,PT,2021-04-21 17:47:36,39.05,-27.9833,63.39,91,100,32.82
140,Qaqortoq,GL,2021-04-21 17:47:37,60.7167,-46.0333,50.0,25,75,24.16
141,Sohag,EG,2021-04-21 17:47:37,26.557,31.6948,87.8,25,0,13.8
142,Bocaiuva,BR,2021-04-21 17:47:16,-17.1078,-43.815,80.6,57,40,4.61
143,Fereydun Kenar,IR,2021-04-21 17:47:37,36.6864,52.5225,69.8,78,0,4.61
144,Karaton,ID,2021-04-21 17:47:38,-6.3424,106.1045,82.0,78,20,8.05
145,Ayolas,PY,2021-04-21 17:47:38,-27.4,-56.9,86.05,32,0,8.72
146,Mahebourg,MU,2021-04-21 17:47:39,-20.4081,57.7,77.0,88,75,4.61
147,Tocopilla,CL,2021-04-21 17:47:39,-22.092,-70.1979,71.04,70,28,9.26
148,Mozarlandia,BR,2021-04-21 17:47:39,-14.7447,-50.5706,87.33,37,1,5.7
149,Muisne,EC,2021-04-21 17:47:40,0.6,-80.0333,82.4,83,40,5.75
150,Necochea,AR,2021-04-21 17:47:31,-38.5473,-58.7368,77.0,51,25,31.0
151,Bindi,SL,2021-04-21 17:47:40,9.9167,-11.45,87.67,47,44,9.15
152,Svarstad,NO,2021-04-21 17:47:40,59.399,9.9698,48.0,43,100,5.01
153,Csaszartoltes,HU,2021-04-21 17:47:41,46.4219,19.1836,55.09,59,65,6.89
154,Klaksvik,FO,2021-04-21 17:47:41,62.2266,-6.589,42.8,75,75,16.11
155,Puerto Quijarro,BO,2021-04-21 17:47:41,-17.7833,-57.7667,97.75,24,0,3.67
156,Codrington,AU,2021-04-21 17:47:42,-38.2667,141.9667,50.27,90,64,9.53
157,Hamilton,US,2021-04-21 17:43:12,39.1834,-84.5333,44.01,52,75,5.75
158,Jijiga,ET,2021-04-21 17:44:05,9.35,42.8,66.18,69,80,3.67
159,Muros,ES,2021-04-21 17:47:42,42.7762,-9.0603,57.0,91,100,1.99
160,Semnan,IR,2021-04-21 17:47:43,35.5729,53.3971,76.19,27,87,5.86
161,Itupiranga,BR,2021-04-21 17:47:43,-5.1347,-49.3267,81.05,80,86,3.09
162,Palanga,LT,2021-04-21 17:47:43,55.9175,21.0686,44.6,87,75,4.61
163,Hobyo,SO,2021-04-21 17:47:44,5.3505,48.5268,84.97,67,91,15.86
164,Oktyabrskiy,RU,2021-04-21 17:44:46,54.4815,53.471,47.59,42,100,14.47
165,Kalaleh,IR,2021-04-21 17:47:44,37.3807,55.4916,73.4,60,0,4.61
166,Sumbawanga,TZ,2021-04-21 17:47:44,-7.9667,31.6167,64.4,77,20,3.44
167,Yambio,SS,2021-04-21 17:47:45,4.5721,28.3955,70.34,93,100,6.33
168,Jaisalmer,IN,2021-04-21 17:47:45,26.9147,70.9181,83.03,27,0,4.07
169,Saint-Joseph,RE,2021-04-21 17:47:45,-21.3667,55.6167,77.0,83,75,13.8
170,Nuuk,GL,2021-04-21 17:47:45,64.1835,-51.7216,32.0,69,1,16.11
171,Acari,PE,2021-04-21 17:47:46,-15.4311,-74.6158,81.37,53,5,11.68
172,Severnoye,RU,2021-04-21 17:47:46,56.3491,78.3619,24.85,86,41,10.8
173,Beyneu,KZ,2021-04-21 17:47:46,45.3167,55.2,51.51,35,95,24.36
174,Illescas,ES,2021-04-21 17:47:47,40.1221,-3.847,61.0,55,40,18.41
175,Paamiut,GL,2021-04-21 17:45:59,61.994,-49.6678,34.2,77,28,6.06
176,Frontignan,FR,2021-04-21 17:47:47,43.4485,3.754,59.0,72,0,5.75
177,Esmeraldas,BR,2021-04-21 17:47:47,-19.7625,-44.3139,84.2,32,40,8.05
178,Awjilah,LY,2021-04-21 17:47:48,29.1081,21.2869,77.14,17,72,9.15
179,Maniitsoq,GL,2021-04-21 17:47:48,65.4167,-52.9,35.08,75,2,7.07
180,San Cristobal,VE,2021-04-21 17:47:48,7.7669,-72.225,89.6,51,40,9.22
181,Guatire,VE,2021-04-21 17:46:14,10.4762,-66.5427,86.0,45,40,10.36
182,Pitsunda,GE,2021-04-21 17:47:49,43.1592,40.3378,51.8,87,40,4.47
183,Pombas,CV,2021-04-21 17:47:49,17.1503,-25.0201,77.0,53,75,26.46
184,Manaus,BR,2021-04-21 17:43:59,-3.1019,-60.025,87.8,94,75,5.75
185,Vila Franca Do Campo,PT,2021-04-21 17:47:49,37.7167,-25.4333,62.6,94,75,12.66
186,Thompson,CA,2021-04-21 17:44:23,55.7435,-97.8558,44.6,39,1,10.36
187,Itarema,BR,2021-04-21 17:47:50,-2.9248,-39.9167,81.7,76,96,7.58
188,Dennis,US,2021-04-21 17:47:50,41.7354,-70.1939,60.01,77,90,13.8
