City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Pisco,PE,-13.7,-76.2167,73.4,64,0,25.32,clear sky
199,Port Blair,IN,11.6667,92.75,80.87,77,40,6.62,scattered clouds
200,Nanortalik,GL,60.1432,-45.2371,38.7,73,100,6.15,overcast clouds
201,Chapais,CA,49.7834,-74.8492,23.0,58,90,5.75,light snow
202,Amboasary,MG,-25.0333,46.3833,71.6,94,40,11.5,scattered clouds
203,Takoradi,GH,4.8845,-1.7554,82.33,80,20,10.6,few clouds
204,Karatau,KZ,43.1667,70.4667,34.95,93,100,6.73,overcast clouds
205,Masyaf,SY,35.0653,36.3406,60.8,88,40,6.91,scattered clouds
206,Wadi Maliz,TN,36.4681,8.5495,69.8,56,40,3.44,scattered clouds
207,Luangwa,ZM,-15.6167,30.4167,67.77,67,0,2.13,clear sky
208,Rodrigues Alves,BR,-7.738,-72.6509,91.4,58,40,3.44,scattered clouds
209,Aguas De Lindoia,BR,-22.4764,-46.6328,78.01,47,5,1.01,clear sky
210,Turgenevo,RU,54.8455,46.3297,42.71,91,100,17.27,overcast clouds
211,Molteno,ZA,-31.3968,26.3625,57.04,55,89,3.11,overcast clouds
212,Yenisehir,TR,40.2644,29.6531,51.8,87,75,4.61,light rain
213,Salvador,SV,13.8333,-88.9167,87.8,45,20,5.75,few clouds
214,Plouzane,FR,48.3833,-4.6167,55.4,87,78,6.91,mist
215,Dingle,PH,10.9995,122.6711,77.77,82,100,7.76,light rain
216,Ponta Delgada,PT,37.7333,-25.6667,64.4,94,75,14.97,broken clouds
217,Paamiut,GL,61.994,-49.6678,34.92,79,100,5.79,overcast clouds
218,Keene,US,42.9337,-72.2781,57.0,82,100,3.44,overcast clouds
219,Constantine,DZ,36.365,6.6147,57.2,54,75,4.61,broken clouds
220,Atraulia,IN,26.3333,82.95,81.82,28,100,5.7,overcast clouds
221,Gunib,RU,42.3876,46.9651,54.84,85,97,1.68,overcast clouds
222,Port-Cartier,CA,50.0334,-66.8654,43.0,61,75,11.5,broken clouds
223,Taltal,CL,-25.4,-70.4833,67.86,65,24,5.32,few clouds
224,Tokonou,GN,9.65,-9.7833,69.75,89,100,8.3,heavy intensity rain
225,Gualaquiza,EC,-3.4,-78.55,72.28,88,84,3.04,moderate rain
226,Mut,TR,36.6439,33.4389,60.13,61,0,2.71,clear sky
227,Catamarca,AR,-28.4696,-65.7852,77.0,71,89,4.0,overcast clouds
228,Miranda,CO,3.2499,-76.2281,87.8,51,40,2.3,scattered clouds
229,Aranos,NA,-24.1333,19.1167,67.48,26,20,9.33,few clouds
230,Gumdag,TM,39.2061,54.5906,74.26,21,95,26.84,overcast clouds
231,Campoverde,PE,-8.4753,-74.8058,89.6,55,20,13.8,few clouds
232,Bam,IR,29.106,58.357,79.56,15,43,6.49,scattered clouds
233,Skjervoy,NO,70.0311,20.9714,35.6,75,75,17.27,broken clouds
234,Petauke,ZM,-14.2426,31.3253,60.17,86,2,4.88,clear sky
