City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Villarrica,PY,86.81,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
275,Rincon,US,82.99,few clouds,32.296,-81.2354,Days Inn Rincon
279,Formosa,AR,86.0,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
281,Trairi,BR,79.54,scattered clouds,-3.2778,-39.2689,janelas do mar
282,Beira,MZ,77.0,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
289,Porto Novo,BJ,86.0,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
295,Capitao Poco,BR,76.26,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
296,Axim,GH,82.17,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
299,Itaituba,BR,77.0,light rain,-4.2761,-55.9836,Hotel Campos
301,Gunjur,GM,75.2,clear sky,13.2019,-16.7339,Kuba Lodge
302,Bengkulu,ID,75.7,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
311,Kolaras,IN,75.58,clear sky,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
312,Safaga,EG,78.8,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
315,Inirida,CO,87.53,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
316,Maraa,BR,83.77,scattered clouds,-1.8333,-65.3667,
317,Jensen Beach,US,84.2,broken clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
319,Padang,ID,76.17,moderate rain,-0.9492,100.3543,Mercure Padang
321,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
323,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
330,Urucui,BR,81.88,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
331,Pinar Del Rio,CU,88.43,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
336,Gamba,GA,79.74,overcast clouds,-2.65,10.0,
337,Mayumba,GA,80.06,overcast clouds,-3.432,10.6554,LIKWALE LODGE
341,Santa Maria,BR,80.6,few clouds,-29.6842,-53.8069,Hotel Morotin
347,Goose Creek,US,84.0,few clouds,32.981,-80.0326,Holiday Inn Express & Suites Charleston-North
348,Omboue,GA,80.28,overcast clouds,-1.5746,9.2618,Hotel Olako
351,Harper,LR,81.7,broken clouds,4.375,-7.7169,Screensaver
354,Buchanan,LR,80.6,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
357,Cozumel,MX,88.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
359,Riachao,BR,75.31,light rain,-7.3619,-46.6172,Pousada Nordestina
362,Garissa,KE,81.18,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
363,Koulikoro,ML,82.22,overcast clouds,14.0,-7.75,
364,Matara,LK,78.28,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
365,Mattru,SL,77.61,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
367,Bandarbeyla,SO,82.49,light rain,9.4942,50.8122,JABIR HOTEL
368,Kattivakkam,IN,82.4,mist,13.2167,80.3167,Raj's villa
371,Beinamar,TD,88.25,overcast clouds,8.6698,15.3813,
372,Deori,IN,84.81,overcast clouds,21.45,82.6167,बंजारी डीपा
378,Veraval,IN,79.54,overcast clouds,20.9,70.3667,Lords Inn Somnath
380,Pakala,IN,79.14,broken clouds,13.4667,79.1167,TELUGU TALLI OLD AGE HOME
381,Puerto Baquerizo Moreno,EC,84.2,broken clouds,-0.9,-89.6,Hotel los Algarrobos
383,Srivardhan,IN,80.42,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
386,Aden,YE,82.06,broken clouds,12.7794,45.0367,Sama Emirate Hotel
